epoch  168 ; loss =  3.91092340884
epoch  169 ; loss =  3.90253663784
epoch  170 ; loss =  3.89423156747
epoch  171 ; loss =  3.88597406503
epoch  172 ; loss =  3.87782672468
epoch  173 ; loss =  3.86971417112
epoch  174 ; loss =  3.86169758826
epoch  175 ; loss =  3.85373698634
epoch  176 ; loss =  3.84582696627
epoch  177 ; loss =  3.83798262365
epoch  178 ; loss =  3.83020869181
epoch  179 ; loss =  3.82252386839
epoch  180 ; loss =  3.81486630131
epoch  181 ; loss =  3.80729056882
epoch  182 ; loss =  3.79977153529
epoch  183 ; loss =  3.79228129133
epoch  184 ; loss =  3.78489912518
epoch  185 ; loss =  3.77756543187
epoch  186 ; loss =  3.77028731929
epoch  187 ; loss =  3.76304195181
epoch  188 ; loss =  3.75586553815
epoch  189 ; loss =  3.74877548802
epoch  190 ; loss =  3.74169953584
epoch  191 ; loss =  3.73468880832
epoch  192 ; loss =  3.72773722338
epoch  193 ; loss =  3.72085600868
epoch  194 ; loss =  3.71398593129
epoch  195 ; loss =  3.70720475861
epoch  196 ; loss =  3.70043614515
epoch  197 ; loss =  3.69375744264
epoch  198 ; loss =  3.68711554592
epoch  199 ; loss =  3.68052356387
epoch  200 ; loss =  3.67396171876
epoch  201 ; loss =  3.66746387461
epoch  202 ; loss =  3.66102557979
epoch  203 ; loss =  3.65462194121
epoch  204 ; loss =  3.64824738901
epoch  205 ; loss =  3.64192792524
epoch  206 ; loss =  3.63566629069
epoch  207 ; loss =  3.62945104435
epoch  208 ; loss =  3.62326953803
epoch  209 ; loss =  3.6171299013
epoch  210 ; loss =  3.61103444793
epoch  211 ; loss =  3.60499402254
epoch  212 ; loss =  3.59898618284
epoch  213 ; loss =  3.5930224286
epoch  214 ; loss =  3.58711089318
epoch  215 ; loss =  3.58123488213
epoch  216 ; loss =  3.57538648675
epoch  217 ; loss =  3.5695795264
epoch  218 ; loss =  3.56383031418
epoch  219 ; loss =  3.55810998943
epoch  220 ; loss =  3.55242668517
epoch  221 ; loss =  3.54676432465
epoch  222 ; loss =  3.54117403628
epoch  223 ; loss =  3.53560452949
epoch  224 ; loss =  3.53005701424
epoch  225 ; loss =  3.52457375004
epoch  226 ; loss =  3.51911087132
epoch  227 ; loss =  3.51369074373
epoch  228 ; loss =  3.50830520711
epoch  229 ; loss =  3.50293758383
epoch  230 ; loss =  3.49763153369
epoch  231 ; loss =  3.4923597801
epoch  232 ; loss =  3.48708779358
epoch  233 ; loss =  3.48189774302
epoch  234 ; loss =  3.47670135168
epoch  235 ; loss =  3.47152829102
epoch  236 ; loss =  3.46643886717
epoch  237 ; loss =  3.46135512415
epoch  238 ; loss =  3.45631089987
epoch  239 ; loss =  3.45127495771
epoch  240 ; loss =  3.44628924939
epoch  241 ; loss =  3.44133965461
epoch  242 ; loss =  3.43641775486
epoch  243 ; loss =  3.43151255128
epoch  244 ; loss =  3.42664060572
epoch  245 ; loss =  3.42180737948
epoch  246 ; loss =  3.41701690093
epoch  247 ; loss =  3.41223223615
epoch  248 ; loss =  3.40747411897
epoch  249 ; loss =  3.40275428137
epoch  250 ; loss =  3.3980685098
epoch  251 ; loss =  3.39341343411
epoch  252 ; loss =  3.38877871744
epoch  253 ; loss =  3.38417729349
epoch  254 ; loss =  3.37958942367
epoch  255 ; loss =  3.37503520281
epoch  256 ; loss =  3.37050215174
epoch  257 ; loss =  3.36601170923
epoch  258 ; loss =  3.36152511577
epoch  259 ; loss =  3.35708864106
epoch  260 ; loss =  3.35267406479
epoch  261 ; loss =  3.34827900345
epoch  262 ; loss =  3.34389286873
epoch  263 ; loss =  3.33956804811
epoch  264 ; loss =  3.33523011414
epoch  265 ; loss =  3.33095150069
epoch  266 ; loss =  3.32668610299
epoch  267 ; loss =  3.32243739734
epoch  268 ; loss =  3.31819895777
epoch  269 ; loss =  3.31400261523
epoch  270 ; loss =  3.30982932234
epoch  271 ; loss =  3.30569749641
epoch  272 ; loss =  3.30155388045
epoch  273 ; loss =  3.29744283438
epoch  274 ; loss =  3.29337316837
epoch  275 ; loss =  3.28932424615
epoch  276 ; loss =  3.2852676674
epoch  277 ; loss =  3.28126500629
epoch  278 ; loss =  3.27725838309
epoch  279 ; loss =  3.27328731966
epoch  280 ; loss =  3.26932658895
epoch  281 ; loss =  3.26540841802
epoch  282 ; loss =  3.26150630977
epoch  283 ; loss =  3.25762181117
epoch  284 ; loss =  3.253751976
epoch  285 ; loss =  3.24989665482
epoch  286 ; loss =  3.24608488626
epoch  287 ; loss =  3.24229000075
epoch  288 ; loss =  3.23850942689
epoch  289 ; loss =  3.23473478532
epoch  290 ; loss =  3.23100189208
epoch  291 ; loss =  3.22727571887
epoch  292 ; loss =  3.22356061324
epoch  293 ; loss =  3.21988329145
epoch  294 ; loss =  3.21621484234
epoch  295 ; loss =  3.21256275823
epoch  296 ; loss =  3.20893801564
epoch  297 ; loss =  3.20533104211
epoch  298 ; loss =  3.20173101776
epoch  299 ; loss =  3.19815282794
epoch  300 ; loss =  3.19460947369
epoch  301 ; loss =  3.19106777017
epoch  302 ; loss =  3.18754562624
epoch  303 ; loss =  3.1840512756
epoch  304 ; loss =  3.18057062543
epoch  305 ; loss =  3.17710708473
epoch  306 ; loss =  3.17365534986
epoch  307 ; loss =  3.17022595248
epoch  308 ; loss =  3.16680962861
epoch  309 ; loss =  3.16340628722
epoch  310 ; loss =  3.16004083067
epoch  311 ; loss =  3.15666046644
epoch  312 ; loss =  3.15332612181
epoch  313 ; loss =  3.14999693065
epoch  314 ; loss =  3.146675294
epoch  315 ; loss =  3.14338237855
epoch  316 ; loss =  3.14008874268
epoch  317 ; loss =  3.13682309042
epoch  318 ; loss =  3.13357466511
epoch  319 ; loss =  3.13035147506
epoch  320 ; loss =  3.12713990912
epoch  321 ; loss =  3.1239198089
epoch  322 ; loss =  3.12073719536
epoch  323 ; loss =  3.11756228645
epoch  324 ; loss =  3.11438588038
epoch  325 ; loss =  3.1112612132
epoch  326 ; loss =  3.10813673944
epoch  327 ; loss =  3.10501909016
epoch  328 ; loss =  3.10192344649
epoch  329 ; loss =  3.0988357177
epoch  330 ; loss =  3.09576406087
epoch  331 ; loss =  3.09271020814
epoch  332 ; loss =  3.08965956065
epoch  333 ; loss =  3.08664185101
epoch  334 ; loss =  3.08363638762
epoch  335 ; loss =  3.08063145982
epoch  336 ; loss =  3.07764934051
epoch  337 ; loss =  3.0746777226
epoch  338 ; loss =  3.0717190906
epoch  339 ; loss =  3.06876721849
epoch  340 ; loss =  3.06583857639
epoch  341 ; loss =  3.06292299235
epoch  342 ; loss =  3.06002812049
epoch  343 ; loss =  3.05712313439
epoch  344 ; loss =  3.05425558379
epoch  345 ; loss =  3.05138350014
epoch  346 ; loss =  3.04852635029
epoch  347 ; loss =  3.04569583599
epoch  348 ; loss =  3.04285832544
epoch  349 ; loss =  3.04003644917
epoch  350 ; loss =  3.03724527325
epoch  351 ; loss =  3.03445382489
epoch  352 ; loss =  3.03167884632
epoch  353 ; loss =  3.02891730919
epoch  354 ; loss =  3.02615624546
epoch  355 ; loss =  3.02340759839
epoch  356 ; loss =  3.02068894329
epoch  357 ; loss =  3.01796244029
epoch  358 ; loss =  3.01525764953
epoch  359 ; loss =  3.01256977447
epoch  360 ; loss =  3.00988655544
epoch  361 ; loss =  3.00721896485
epoch  362 ; loss =  3.00455103965
epoch  363 ; loss =  3.0019119308
epoch  364 ; loss =  2.99927990203
epoch  365 ; loss =  2.99663355302
epoch  366 ; loss =  2.99401831215
epoch  367 ; loss =  2.99143015583
epoch  368 ; loss =  2.98883506304
epoch  369 ; loss =  2.9862576383
epoch  370 ; loss =  2.98369420227
epoch  371 ; loss =  2.98112761562
epoch  372 ; loss =  2.97857836001
epoch  373 ; loss =  2.97604453014
